"geoid","totale"
"01001",0
"39119",0
"39121",0
"39123",0
"39125",0
"39131",0
"39135",0
"39137",0
"39145",0
"39149",0
"39157",0
"39161",0
"39163",0
"39169",0
"39171",0
"39175",0
"40001",0
"40003",0
"40005",0
"40007",0
"40009",0
"40011",0
"40013",0
"40015",0
"40019",0
"40021",0
"40023",0
"40025",0
"40029",0
"40031",0
"40033",0
"40035",0
"40041",0
"40043",0
"40045",0
"40049",0
"40051",0
"40053",0
"40055",0
"40057",0
"40059",0
"40061",0
"40063",0
"40065",0
"40067",0
"40069",0
"40071",0
"40073",0
"40075",0
"40077",0
"40079",0
"40083",0
"40085",0
"40087",0
"40089",0
"40091",0
"40093",0
"40095",0
"40097",0
"40099",0
"40103",0
"40105",0
"40107",0
"40111",0
"40113",0
"40115",0
"40117",0
"40119",0
"40121",0
"40123",0
"40125",0
"40127",0
"40129",0
"40131",0
"40133",0
"40135",0
"40137",0
"40139",0
"40141",0
"40147",0
"40149",0
"40151",0
"40153",0
"41001",0
"41013",0
"41015",0
"41017",0
"41021",0
"41023",0
"41025",0
"41027",0
"41031",0
"41035",0
"41037",0
"41045",0
"41049",0
"41053",0
"41055",0
"41057",0
"41059",0
"41061",0
"41063",0
"41065",0
"41069",0
"41071",0
"42005",0
"42009",0
"42011",0
"42015",0
"42021",0
"42023",0
"42027",0
"42031",0
"42037",0
"42039",0
"42047",0
"42053",0
"42057",0
"42059",0
"42061",0
"42063",0
"42065",0
"42067",0
"42075",0
"42081",0
"42083",0
"42087",0
"42093",0
"42097",0
"42099",0
"42103",0
"42105",0
"42107",0
"42109",0
"42111",0
"42113",0
"42115",0
"42117",0
"42119",0
"42121",0
"42123",0
"42127",0
"42131",0
"44001",0
"45001",0
"45005",0
"45009",0
"45011",0
"45015",0
"45017",0
"45021",0
"45023",0
"45025",0
"45027",0
"45029",0
"45033",0
"45039",0
"45047",0
"45049",0
"45053",0
"45055",0
"45059",0
"45061",0
"45065",0
"45067",0
"45069",0
"45071",0
"45073",0
"45075",0
"45077",0
"45079",0
"45081",0
"45085",0
"45087",0
"45089",0
"46003",0
"46005",0
"46007",0
"46009",0
"46013",0
"46015",0
"46017",0
"46019",0
"46021",0
"46023",0
"46025",0
"46027",0
"46029",0
"46031",0
"46033",0
"46035",0
"46037",0
"46039",0
"46041",0
"46043",0
"46045",0
"46047",0
"46049",0
"46051",0
"46053",0
"46055",0
"46057",0
"46059",0
"46061",0
"46063",0
"46065",0
"46067",0
"46069",0
"46071",0
"46073",0
"46075",0
"46077",0
"46079",0
"46081",0
"46083",0
"46087",0
"46089",0
"46091",0
"46093",0
"46095",0
"46097",0
"46101",0
"46102",0
"46103",0
"46105",0
"46107",0
"46109",0
"46111",0
"46115",0
"46117",0
"46119",0
"46121",0
"46123",0
"46125",0
"46127",0
"46129",0
"46137",0
"47001",0
"47003",0
"47005",0
"47007",0
"47011",0
"47015",0
"47017",0
"47021",0
"47023",0
"47025",0
"47027",0
"47029",0
"47031",0
"47033",0
"47039",0
"47041",0
"47043",0
"47045",0
"47047",0
"47049",0
"47051",0
"47053",0
"47055",0
"47057",0
"47061",0
"47067",0
"47069",0
"47071",0
"47075",0
"47079",0
"47081",0
"47083",0
"47085",0
"47087",0
"47089",0
"47091",0
"47095",0
"47097",0
"47099",0
"47101",0
"47103",0
"47105",0
"47107",0
"47109",0
"47111",0
"47115",0
"47117",0
"47121",0
"47123",0
"47127",0
"47129",0
"47131",0
"47133",0
"47135",0
"47137",0
"47139",0
"47145",0
"47147",0
"47151",0
"47153",0
"47159",0
"47161",0
"47169",0
"47173",0
"47175",0
"47177",0
"47181",0
"47183",0
"47185",0
"48001",0
"48005",0
"48007",0
"48009",0
"48011",0
"48013",0
"48015",0
"48017",0
"48019",0
"48021",0
"48023",0
"48025",0
"48031",0
"48033",0
"48035",0
"48037",0
"48043",0
"48045",0
"48047",0
"48049",0
"48051",0
"48059",0
"48063",0
"48065",0
"48067",0
"48069",0
"48071",0
"48073",0
"48075",0
"48077",0
"48079",0
"48081",0
"48083",0
"48087",0
"48089",0
"48093",0
"48095",0
"48097",0
"48101",0
"48103",0
"48105",0
"48107",0
"48109",0
"48111",0
"48115",0
"48117",0
"48119",0
"48123",0
"48125",0
"48127",0
"48129",0
"48131",0
"48137",0
"48145",0
"48147",0
"48149",0
"48151",0
"48153",0
"48155",0
"48159",0
"48161",0
"48163",0
"48165",0
"48169",0
"48171",0
"48173",0
"48175",0
"48177",0
"48179",0
"48185",0
"48187",0
"48189",0
"48191",0
"48193",0
"48197",0
"48203",0
"48205",0
"48207",0
"48209",0
"48211",0
"48217",0
"48219",0
"48221",0
"48223",0
"48225",0
"48227",0
"48229",0
"48233",0
"48235",0
"48237",0
"48239",0
"48241",0
"48243",0
"48247",0
"48249",0
"48253",0
"48255",0
"48259",0
"48261",0
"48263",0
"48267",0
"48269",0
"48271",0
"48275",0
"48277",0
"48279",0
"48283",0
"48285",0
"48287",0
"48289",0
"48291",0
"48293",0
"48295",0
"48297",0
"48299",0
"48301",0
"48305",0
"48307",0
"48311",0
"48313",0
"48315",0
"48317",0
"48319",0
"48321",0
"48323",0
"48325",0
"48327",0
"48331",0
"48333",0
"48335",0
"48341",0
"48343",0
"48345",0
"48349",0
"48351",0
"48353",0
"48357",0
"48359",0
"48363",0
"48365",0
"48367",0
"48369",0
"48371",0
"48373",0
"48377",0
"48379",0
"48381",0
"48383",0
"48385",0
"48387",0
"48389",0
"48391",0
"48393",0
"48395",0
"48399",0
"48401",0
"48403",0
"48405",0
"48407",0
"48409",0
"48411",0
"48413",0
"48415",0
"48417",0
"48419",0
"48421",0
"48425",0
"48427",0
"48429",0
"48431",0
"48433",0
"48435",0
"48437",0
"48443",0
"48445",0
"48447",0
"48449",0
"48451",0
"48457",0
"48459",0
"48461",0
"48463",0
"48467",0
"48469",0
"48471",0
"48475",0
"48479",0
"48481",0
"48483",0
"48487",0
"48489",0
"48493",0
"48495",0
"48497",0
"48499",0
"48501",0
"48503",0
"48505",0
"48507",0
"49001",0
"49003",0
"49005",0
"49007",0
"49009",0
"49013",0
"49015",0
"49017",0
"49019",0
"49021",0
"49023",0
"49025",0
"49027",0
"49029",0
"49031",0
"49033",0
"49037",0
"49039",0
"49041",0
"49043",0
"49045",0
"49047",0
"49055",0
"50001",0
"50003",0
"50005",0
"50009",0
"50011",0
"50013",0
"50015",0
"50017",0
"50019",0
"50021",0
"50025",0
"50027",0
"51001",0
"51003",0
"51005",0
"51007",0
"51009",0
"51011",0
"51015",0
"51017",0
"51019",0
"51021",0
"51023",0
"51025",0
"51027",0
"51029",0
"51031",0
"51033",0
"51035",0
"51036",0
"51037",0
"51043",0
"51045",0
"51047",0
"51049",0
"51051",0
"51053",0
"51057",0
"51063",0
"51067",0
"51069",0
"51071",0
"51073",0
"51075",0
"51077",0
"51079",0
"51081",0
"51083",0
"51089",0
"51091",0
"51093",0
"51095",0
"51097",0
"51099",0
"51101",0
"51103",0
"51105",0
"51109",0
"51111",0
"51113",0
"51115",0
"51117",0
"51119",0
"51121",0
"51125",0
"51127",0
"51131",0
"51133",0
"51135",0
"51137",0
"51139",0
"51141",0
"51143",0
"51145",0
"51147",0
"51149",0
"51155",0
"51157",0
"51159",0
"51163",0
"51167",0
"51169",0
"51171",0
"51173",0
"51175",0
"51177",0
"51179",0
"51181",0
"51183",0
"51185",0
"51187",0
"51191",0
"51193",0
"51195",0
"51197",0
"51199",0
"51520",0
"51530",0
"51570",0
"51580",0
"51590",0
"51595",0
"51620",0
"51640",0
"51670",0
"51678",0
