"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"01001",0,984,0,313.952443429968,3.95406100037743,1.16644799511134,2.34188249249627,72.3808839123636,35.5232919513931,5.2345972691,3.44722227214723
"39119",0,2009,0,320.632780444713,3.47541059825881,0.510269315262748,0.817128311229412,90.3281299036416,49.4283565679729,4.5627573667,2.92794625318192
"39121",0,120,0,241.151977793199,4.09437890353921,0.0763358778625954,0.54823039555864,82.3108952116586,13.7656009078578,3.7182769122,2.10964607911173
"39123",0,1180,0,230.046601079962,3.55055847325986,0.244100895036615,1.25995512488596,90.9830608772838,58.7272659033477,3.9910669441,1.54104100401903
"39125",0,40,0,262.191868530573,3.9483512965532,0.261444883150144,1.42994344253548,91.623092519475,17.2998711811717,3.7644591072,2.19827126240529
"39131",0,165,0,296.123808841442,4.47803969334384,0.096725657376227,0.329583721430107,94.2179551479544,24.3052242528742,4.8146137787,4.09113706383893
"39135",0,266,0,247.615562873521,4.92743017441151,0.26588608366874,0.858641297719234,95.4604220026833,37.152662627702,3.7328689331,2.03683376021466
"39137",0,240,0,260.491783898806,4.69913701383142,0.12708357961934,1.43929542499113,91.343539425464,27.0161555104459,3.5276216199,1.8057690034283
"39145",0,2281,0,306.398377540064,3.48616799883353,0.437427923808009,0.68132712981005,90.9319865855437,47.322047298537,5.9973375205,4.36500046393871
"39149",0,431,0,242.213536309401,3.92923266817527,0.886648837687719,1.53260645957622,91.7177535486525,45.755261376597,3.7394521026,2.16622094219296
"39157",0,2181,0,240.091140888624,5.56610426951663,0.390603808387132,1.86621819562741,93.1590083003309,62.3402156275575,4.0869795342,2.49660934194108
"39161",0,188,0,253.358380888243,5.3166979761103,0.276468294757736,0.528125332293623,92.5849785559848,26.5714217728846,3.6324364841,1.82185517314713
"39163",0,15,0,241.4718282867,4.36949022614028,0.237638942123419,0.735914143349943,95.9218091222691,12.1439149790324,4.4153888889,3.65657339977003
"39169",0,2502,0,215.021152305214,3.85135659081706,1.02961322729897,2.05491844946279,92.756520165772,80.5863679497481,3.8861705875,1.78954533313804
"39171",0,177,0,263.35690968444,4.54298150163221,0.58487486398259,1.47442872687704,90.4298150163221,33.5847556894885,3.5595552984,2.20348204570185
"39175",0,617,0,261.195051809924,4.79298854247501,0.976856712466335,1.4105080567855,93.7919386497467,20.7794342471171,3.8327443579,1.7665586342265
"40001",0,61,0,386.856704704344,3.47300527716386,0.938162464480628,1.84926255017816,38.7623472103198,14.8353446735752,5.1711872898,5.36737179198052
"40003",0,4,0,299.43015023312,2.76290796062856,0.293558970816785,3.07373510619927,72.716283888793,2.5373282336807,3.81274335,1.48506302883785
"40005",0,47,0,298.443720593558,3.90879478827362,0.383640969960188,1.60694896851249,64.7484618168657,5.38722387661663,4.6212753623,3.66268548678972
"40007",0,0,0,195.644010514457,2.06533984228314,0.0187758167480285,10.495681562148,69.8084866691701,1.13170291294888,4.0116505695,1.48328952309425
