"geoid","totale"
"30051",0
"20033",0
"35021",0
"31061",0
"48393",0
"20049",0
"20065",0
"31135",0
"20075",0
"20081",0
"38095",0
"31063",0
"13125",0
"20089",0
"20093",0
"31143",0
"22021",0
"29205",0
"48413",0
"31069",0
"27155",0
"30055",0
"19051",0
"41021",0
"48155",0
"13101",0
"20105",0
"29041",0
"31149",0
"31161",0
"31075",0
"13061",0
"38091",0
"38081",0
"31171",0
"20165",0
"30037",0
"46119",0
"48173",0
"30075",0
"13007",0
"13003",0
"37073",0
"38049",0
"30069",0
"31009",0
"16033",0
"30033",0
"46105",0
"28019",0
"46097",0
"48295",0
"46007",0
"22123",0
"46091",0
"40059",0
"31183",0
"21189",0
"38051",0
"21109",0
"27081",0
"31085",0
"54105",0
"46021",0
"48119",0
"46025",0
"46069",0
"13301",0
"38001",0
"30019",0
"31091",0
"54017",0
"38045",0
"19173",0
"40029",0
"31103",0
"38013",0
"46063",0
"46061",0
"29103",0
"38065",0
"27101",0
"30103",0
"19185",0
"38023",0
"46049",0
"31113",0
"13265",0
"31017",0
"38103",0
"28055",0
"17059",0
"38029",0
"31115",0
"40007",0
"17171",1
"08095",1
"38031",1
"38041",1
"38037",1
"38087",1
"08033",1
"08025",1
"38067",1
"38079",1
"48433",1
"21135",1
"38073",1
"17153",1
"31073",1
"31077",1
"48033",1
"01063",1
"40129",1
"30025",1
"31087",1
"30015",1
"30011",1
"48205",1
"31117",1
"31129",1
"31005",1
"29211",1
"29203",1
"29197",1
"48345",1
"16071",1
"30099",1
"31163",1
"48269",1
"29171",1
"16025",1
"31181",1
"40057",1
"19151",1
"13315",1
"13309",1
"29129",1
"29125",1
"19159",1
"48011",1
"30091",1
"27107",1
"22091",1
"13249",1
"48087",1
"13201",1
"20025",1
"48095",1
"20071",1
"20083",1
"29057",1
"01023",1
"20097",1
"05073",1
"47067",1
"05079",1
"48417",1
"20119",1
"13079",1
"48107",1
"51027",1
"20141",1
"47007",1
"46125",1
"31007",1
"20199",1
"30065",1
"20201",1
"46107",1
"46095",1
"20207",1
"28125",1
"53019",1
"55078",1
"53023",1
"46077",1
"37177",1
"48461",1
"53069",1
"48447",1
"54015",1
"48151",1
"28077",1
"38011",1
"30059",1
"46043",1
"46045",1
"08115",1
"21087",1
"38021",1
"38027",1
"46053",1
"46055",1
"19003",2
"30109",2
"30107",2
"01027",2
"48311",2
"27011",2
"48175",2
"01131",2
"40067",2
"05013",2
"05025",2
"05065",2
"21219",2
"28005",2
"48421",2
"28009",2
"21201",2
"46039",2
"46057",2
"54101",2
"38075",2
"38043",2
"38039",2
"38033",2
"38025",2
"28065",2
"08121",2
"38005",2
"21063",2
"48125",2
"46073",2
"28111",2
"28129",2
"12077",2
"20203",2
"20197",2
"46111",2
"20183",2
"46121",2
"20179",2
"13037",2
"29025",2
"20101",2
"20077",2
"29063",2
"20047",2
"48235",2
"20039",2
"20023",2
"20019",2
"13263",2
"19161",2
"13307",2
"16003",2
"29151",2
"19093",2
"16063",2
"31139",2
"31125",2
"31123",2
"29227",2
"19009",2
"31107",2
"49031",2
"31097",2
"51045",2
"31027",2
"18007",2
"31011",2
"51183",3
"37029",3
"16023",3
"29087",3
"20153",3
"21131",3
"51021",3
"19107",3
"31175",3
"21191",3
"20157",3
"48275",3
"27173",3
"35003",3
"38047",3
"29179",3
"55041",3
"31071",3
"46003",3
"05117",3
"20195",3
"20185",3
"13209",3
"47135",3
"26001",3
"19071",3
"48137",3
"22025",3
"54013",3
"47083",3
"29045",3
"46059",3
"54007",3
"17013",3
"31057",3
"48191",3
"51105",3
"29199",3
"30071",3
"41069",3
"48443",3
"21039",3
"17069",3
"08053",3
"40045",3
"28037",3
"19115",3
"29035",3
"29137",3
"01037",3
"40043",3
"19025",3
"38063",3
"27125",3
"29185",3
"47027",3
"38085",3
"20135",3
"08061",3
"56027",3
"51007",3
"47095",3
"48079",3
"08023",3
"16061",3
"18161",3
"01085",3
"29017",4
"48403",4
"40093",4
"27087",4
"50009",4
"20007",4
"29075",4
"40003",4
"13197",4
"08057",4
"46067",4
"38055",4
"26119",4
"48359",4
"28061",4
"30097",4
"54063",4
"30087",4
"48263",4
"08009",4
"13269",4
"31065",4
"29153",4
"41023",4
"48261",4
"40127",4
"21147",4
"40053",4
"48301",4
"01041",4
"51175",4
"31003",4
"55037",4
"20109",4
"20107",4
"21169",4
"29223",4
"31165",4
"13239",4
"31133",4
"19195",4
"13231",4
"51097",4
"32011",4
"55091",5
"12067",5
"21023",5
"08103",5
"21105",5
"20127",5
"06091",5
"31029",5
"47039",5
"17071",5
"18111",5
"27129",5
"45017",5
"30079",5
"18025",5
"21091",5
"20069",5
"28069",5
"55065",5
"35033",5
"47169",5
"27073",5
"38019",5
"30089",5
"21149",5
"31093",5
"31173",5
"42053",5
"46089",5
"51181",5
"21011",5
"17175",5
"19177",5
"20143",5
"29061",5
"48385",5
"56003",5
"31169",6
"46037",6
"21007",6
"27051",6
"46087",6
"21181",6
"35011",6
"29067",6
"01107",6
"05105",6
"46109",6
"27069",6
"05097",6
"46031",6
"48081",6
"01075",6
"40025",6
"29085",6
"27121",6
"20163",6
"31035",6
"29215",6
"42113",6
"21031",6
"51133",6
"28031",6
"46023",6
"51111",7
"13319",7
"21165",7
"18115",7
"21057",7
"21053",7
"38061",7
"05147",7
"28141",7
"21119",7
"31051",7
"31049",7
"48229",7
"31083",7
"30095",7
"26011",7
"47049",7
"26085",7
"21237",7
"17047",7
"19023",7
"48405",7
"20063",7
"35059",7
"51029",7
"56011",7
"01119",7
"29173",7
"27089",7
"48351",8
"29181",8
"51077",8
"51141",8
"27001",8
"55099",8
"19119",8
"20129",8
"30005",8
"13253",8
"18155",8
"47181",8
"42057",8
"51049",8
"28155",8
"54085",8
"30043",8
"54095",8
"21027",8
"22107",8
"21077",8
"32009",8
"19053",8
"08109",8
"19075",9
"21187",9
"27143",9
"05129",9
"47087",9
"28015",9
"46101",9
"21143",9
"48101",9
"28023",9
"47137",9
"28041",9
"38083",9
"46085",9
"17087",9
"42105",9
"38009",9
"13289",9
"47127",9
"55077",9
"48483",10
"21171",10
"37143",10
"48109",10
"21223",10
"21229",10
"22023",10
"01029",10
"13149",10
"47161",10
"29141",10
"19077",10
"27029",10
"17035",10
"48065",10
"17151",10
"55011",10
"17155",10
"38097",10
"05089",11
